index,lat,lon,avg_pm25,risk
422,30.3245,78.0425,26.871486373165617,LOW
423,30.275,78.02,30.354331236897277,LOW
424,30.3058,77.9958,18.319446540880502,LOW
425,30.36,77.98,28.735274633123687,LOW
426,30.35,78.055,24.164364779874212,LOW
427,30.3121,78.0432,34.383677148846964,LOW
428,30.3272,78.0612,18.839366876310272,LOW
429,30.3348,77.9962,33.29519077568134,LOW
430,30.3215,78.041,26.871486373165617,LOW
431,30.362,78.048,23.10503983228512,LOW
432,30.385,78.065,25.9197106918239,LOW
433,29.9582,78.1642,23.310075471698113,LOW
434,29.92,78.14,34.75327463312369,LOW
435,29.945,78.155,22.17938155136268,LOW
436,29.98,78.135,25.075744234800844,LOW
437,29.965,78.12,25.248872117400417,LOW
438,29.946,78.162,22.17938155136268,LOW
439,29.93,78.15,17.09061215932914,LOW
440,29.91,78.125,35.5919748427673,LOW
441,30.127,78.324,21.078775681341718,LOW
442,30.1058,78.2983,21.358999999999998,LOW
443,30.095,78.28,28.776658280922433,LOW
444,30.118,78.305,14.674285115303983,LOW
445,30.102,78.3,21.358999999999998,LOW
446,30.08,78.275,29.060725366876312,LOW
447,30.072,78.29,31.020146750524106,LOW
448,30.3398,78.0644,25.332410901467508,LOW
449,30.3165,78.0322,25.635656184486372,LOW
450,30.3245,78.0425,26.871486373165617,LOW
451,30.275,78.02,30.354331236897277,LOW
452,30.3058,77.9958,18.319446540880502,LOW
453,30.36,77.98,28.735274633123687,LOW
454,30.35,78.055,24.164364779874212,LOW
455,30.3121,78.0432,34.383677148846964,LOW
456,30.3272,78.0612,18.839366876310272,LOW
457,30.3348,77.9962,33.29519077568134,LOW
458,30.3215,78.041,26.871486373165617,LOW
459,30.362,78.048,23.10503983228512,LOW
460,30.385,78.065,25.9197106918239,LOW
461,29.9582,78.1642,23.310075471698113,LOW
462,29.92,78.14,34.75327463312369,LOW
463,29.945,78.155,22.17938155136268,LOW
464,29.98,78.135,25.075744234800844,LOW
465,29.965,78.12,25.248872117400417,LOW
466,29.946,78.162,22.17938155136268,LOW
467,29.93,78.15,17.09061215932914,LOW
468,29.91,78.125,35.5919748427673,LOW
469,30.127,78.324,21.078775681341718,LOW
470,30.1058,78.2983,21.358999999999998,LOW
471,30.095,78.28,28.776658280922433,LOW
472,30.118,78.305,14.674285115303983,LOW
473,30.102,78.3,21.358999999999998,LOW
474,30.08,78.275,29.060725366876312,LOW
475,30.072,78.29,31.020146750524106,LOW
476,30.3398,78.0644,25.332410901467508,LOW
477,30.3165,78.0322,25.635656184486372,LOW
478,30.3245,78.0425,26.871486373165617,LOW
